"Year,Age,ID_sex,ID_np,Population"
"1991,81,0,0,1172"
"1991,80,0,0,1323"
"1991,79,0,0,1572"
"1991,78,0,0,1750"
"1991,77,0,0,1596"
"1991,76,0,0,1846"
"1991,75,0,0,1632"
"1991,74,0,0,1386"
"1991,73,0,0,1374"
"1991,72,0,0,1770"
"1991,71,0,0,2038"
"1991,70,0,0,1545"
"1991,69,0,0,1813"
"1991,68,0,0,1978"
"1991,67,0,0,2450"
"1991,66,0,0,2989"
"1991,65,0,0,3088"
"1991,64,0,0,3502"
"1991,63,0,0,3606"
"1991,62,0,0,3775"
"1991,61,0,0,3847"
"1991,60,0,0,4038"
"1991,59,0,0,4017"
"1991,58,0,0,3853"
"1991,57,0,0,3173"
"1991,56,0,0,3158"
"1991,55,0,0,2870"
"1991,54,0,0,3171"
"1991,53,0,0,2903"
"1991,52,0,0,3016"
"1991,51,0,0,3372"
"1991,50,0,0,2611"
"1991,49,0,0,2266"
"1991,48,0,0,1374"
"1991,47,0,0,740"
"1991,46,0,0,767"
"1991,45,0,0,996"
"1991,44,0,0,1672"
"1991,43,0,0,2048"
"1991,42,0,0,1930"
"1991,41,0,0,2631"
"1991,40,0,0,2765"
"1991,39,0,0,2804"
"1991,38,0,0,3059"
"1991,37,0,0,2996"
"1991,36,0,0,3574"
"1991,35,0,0,3617"
"1991,34,0,0,3601"
"1991,33,0,0,3884"
"1991,32,0,0,4086"
"1991,31,0,0,4221"
"1991,30,0,0,4347"
"1991,29,0,0,4024"
"1991,28,0,0,3909"
"1991,27,0,0,3701"
"1991,26,0,0,3406"
"1991,25,0,0,3142"
"1991,24,0,0,2995"
"1991,23,0,0,2789"
"1991,22,0,0,2527"
"1991,21,0,0,2226"
"1991,20,0,0,2105"
"1991,19,0,0,1982"
"1991,18,0,0,2094"
"1991,17,0,0,2203"
"1991,16,0,0,3642"
"1991,15,0,0,3688"
"1991,14,0,0,4231"
"1991,13,0,0,4057"
"1991,12,0,0,4012"
"1991,11,0,0,4233"
"1991,10,0,0,4263"
"1991,9,0,0,4473"
"1991,8,0,0,4535"
"1991,7,0,0,5030"
"1991,6,0,0,4807"
"1991,5,0,0,4587"
"1991,4,0,0,5054"
"1991,3,0,0,5101"
"1991,2,0,0,4690"
"1991,1,0,0,4289"
"1991,0,0,0,3905"
"1991,100,0,1,30"
"1991,99,0,1,11"
"1991,98,0,1,26"
"1991,97,0,1,23"
"1991,96,0,1,18"
"1991,95,0,1,56"
"1991,94,0,1,72"
"1991,93,0,1,106"
"1991,92,0,1,158"
"1991,91,0,1,210"
"1991,90,0,1,309"
"1991,89,0,1,473"
"1991,88,0,1,540"
"1991,87,0,1,768"
"1991,86,0,1,908"
"1991,85,0,1,1115"
"1991,84,0,1,1449"
"1991,83,0,1,1719"
"1991,82,0,1,1969"
"1991,81,0,1,2145"
"1991,80,0,1,2561"
"1991,79,0,1,2780"
"1991,78,0,1,3007"
"1991,77,0,1,3092"
"1991,76,0,1,3520"
"1991,75,0,1,3122"
"1991,74,0,1,2696"
"1991,73,0,1,2794"
"1991,72,0,1,3780"
"1991,71,0,1,3591"
"1991,70,0,1,2721"
"1991,69,0,1,3706"
"1991,68,0,1,3588"
"1991,67,0,1,4759"
"1991,66,0,1,5544"
"1991,65,0,1,5860"
"1991,64,0,1,6331"
"1991,63,0,1,6216"
"1991,62,0,1,6751"
"1991,61,0,1,6429"
"1991,60,0,1,6986"
"1991,59,0,1,6490"
"1991,58,0,1,6725"
"1991,57,0,1,5550"
"1991,56,0,1,6134"
"1991,55,0,1,6485"
"1991,54,0,1,7102"
"1991,53,0,1,7723"
"1991,52,0,1,8120"
"1991,51,0,1,8528"
"1991,50,0,1,7326"
"1991,49,0,1,7084"
"1991,48,0,1,4439"
"1991,47,0,1,3063"
"1991,46,0,1,3230"
"1991,45,0,1,4436"
"1991,44,0,1,6920"
"1991,43,0,1,8099"
"1991,42,0,1,7924"
"1991,41,0,1,10147"
"1991,40,0,1,9625"
"1991,39,0,1,10310"
"1991,38,0,1,10561"
"1991,37,0,1,10157"
"1991,36,0,1,11406"
"1991,35,0,1,11170"
"1991,34,0,1,10567"
"1991,33,0,1,11320"
"1991,32,0,1,11311"
"1991,31,0,1,11169"
"1991,30,0,1,11330"
"1991,29,0,1,10728"
"1991,28,0,1,9906"
"1991,27,0,1,9331"
"1991,26,0,1,8415"
"1991,25,0,1,7892"
"1991,24,0,1,7656"
"1991,23,0,1,7291"
"1991,22,0,1,7311"
"1991,21,0,1,7469"
"1991,20,0,1,8108"
"1991,19,0,1,9028"
"1991,18,0,1,9640"
"1991,17,0,1,9650"
"1991,16,0,1,8883"
"1991,15,0,1,9072"
"1991,14,0,1,8957"
"1991,13,0,1,8630"
"1991,12,0,1,8684"
"1991,11,0,1,8733"
"1991,10,0,1,8996"
"1991,9,0,1,8946"
"1991,8,0,1,8976"
"1991,7,0,1,10048"
"1991,6,0,1,9462"
"1991,5,0,1,9313"
"1991,4,0,1,9801"
"1991,3,0,1,9813"
"1991,2,0,1,9136"
"1991,1,0,1,8513"
"1991,0,0,1,7894"
"1991,100,1,0,2"
"1991,99,1,0,0"
"1991,98,1,0,1"
"1991,97,1,0,0"
"1991,96,1,0,0"
"1991,95,1,0,0"
"1991,94,1,0,4"
"1991,93,1,0,4"
"1991,92,1,0,5"
"1991,91,1,0,9"
"1991,90,1,0,12"
"1991,89,1,0,17"
"1991,88,1,0,33"
"1991,87,1,0,49"
"1991,86,1,0,57"
"1991,85,1,0,76"
"1991,84,1,0,98"
"1991,83,1,0,123"
"1991,82,1,0,164"
"1991,81,1,0,199"
"1991,80,1,0,247"
"1991,79,1,0,290"
"1991,78,1,0,327"
"1991,77,1,0,392"
"1991,76,1,0,361"
"1991,75,1,0,363"
"1991,74,1,0,330"
"1991,73,1,0,361"
"1991,72,1,0,506"
"1991,71,1,0,649"
"1991,70,1,0,505"
"1991,69,1,0,632"
"1991,68,1,0,599"
"1991,67,1,0,844"
"1991,66,1,0,1087"
"1991,65,1,0,1250"
"1991,64,1,0,1611"
"1991,63,1,0,1879"
"1991,62,1,0,2195"
"1991,61,1,0,2467"
"1991,60,1,0,2776"
"1991,59,1,0,2911"
"1991,58,1,0,2766"
"1991,57,1,0,2280"
"1991,56,1,0,2466"
"1991,55,1,0,2258"
"1991,54,1,0,2527"
"1991,53,1,0,2395"
"1991,52,1,0,2469"
"1991,51,1,0,2819"
"1991,50,1,0,2316"
"1991,49,1,0,2129"
"1991,48,1,0,1285"
"1991,47,1,0,755"
"1991,46,1,0,794"
"1991,45,1,0,1024"
"1991,44,1,0,1893"
"1991,43,1,0,2318"
"1991,42,1,0,2239"
"1991,41,1,0,2948"
"1991,40,1,0,3180"
"1991,39,1,0,3301"
"1991,38,1,0,3642"
"1991,37,1,0,3462"
"1991,36,1,0,4065"
"1991,35,1,0,4317"
"1991,34,1,0,4372"
"1991,33,1,0,4704"
"1991,32,1,0,4883"
"1991,31,1,0,5085"
"1991,30,1,0,5004"
"1991,29,1,0,4859"
"1991,28,1,0,4403"
"1991,27,1,0,4370"
"1991,26,1,0,3818"
"1991,25,1,0,3594"
"1991,24,1,0,3333"
"1991,23,1,0,2969"
"1991,22,1,0,2667"
"1991,21,1,0,2447"
"1991,20,1,0,2364"
"1991,19,1,0,2649"
"1991,18,1,0,2984"
"1991,17,1,0,3018"
"1991,16,1,0,3868"
"1991,15,1,0,3964"
"1991,14,1,0,4244"
"1991,13,1,0,4248"
"1991,12,1,0,4099"
"1991,11,1,0,4303"
"1991,10,1,0,4381"
"1991,9,1,0,4483"
"1991,8,1,0,4597"
"1991,7,1,0,5098"
"1991,6,1,0,4937"
"1991,5,1,0,4879"
"1991,4,1,0,5310"
"1991,3,1,0,5291"
"1991,2,1,0,4829"
"1991,1,1,0,4512"
"1991,0,1,0,4074"
"1991,100,1,1,3"
"1991,99,1,1,2"
"1991,98,1,1,1"
"1991,97,1,1,3"
"1991,96,1,1,3"
"1991,95,1,1,3"
"1991,94,1,1,4"
"1991,93,1,1,11"
"1991,92,1,1,12"
"1991,91,1,1,20"
"1991,90,1,1,30"
"1991,89,1,1,43"
"1991,88,1,1,80"
"1991,87,1,1,121"
"1991,86,1,1,161"
"1991,85,1,1,197"
"1991,84,1,1,260"
"1991,83,1,1,347"
"1991,82,1,1,426"
"1991,81,1,1,475"
"1991,80,1,1,572"
"1991,79,1,1,689"
"1991,78,1,1,818"
"1991,77,1,1,860"
"1991,76,1,1,1007"
"1991,75,1,1,930"
"1991,74,1,1,839"
"1991,73,1,1,885"
"1991,72,1,1,1170"
"1991,71,1,1,1255"
"1991,70,1,1,1021"
"1991,69,1,1,1227"
"1991,68,1,1,1205"
"1991,67,1,1,1731"
"1991,66,1,1,2277"
"1991,65,1,1,2961"
"1991,64,1,1,4044"
"1991,63,1,1,4250"
"1991,62,1,1,4457"
"1991,61,1,1,4451"
"1991,60,1,1,4857"
"1991,59,1,1,4782"
"1991,58,1,1,4658"
"1991,57,1,1,4139"
"1991,56,1,1,4612"
"1991,55,1,1,4867"
"1991,54,1,1,5604"
"1991,53,1,1,6413"
"1991,52,1,1,6468"
"1991,51,1,1,7212"
"1991,50,1,1,6325"
"1991,49,1,1,6242"
"1991,48,1,1,3990"
"1991,47,1,1,2616"
"1991,46,1,1,3074"
"1991,45,1,1,4204"
"1991,44,1,1,6477"
"1991,43,1,1,7510"
"1991,42,1,1,7231"
"1991,41,1,1,9428"
"1991,40,1,1,9242"
"1991,39,1,1,9629"
"1991,38,1,1,9820"
"1991,37,1,1,9508"
"1991,36,1,1,10317"
"1991,35,1,1,10315"
"1991,34,1,1,10154"
"1991,33,1,1,10559"
"1991,32,1,1,10760"
"1991,31,1,1,10345"
"1991,30,1,1,10445"
"1991,29,1,1,9911"
"1991,28,1,1,9338"
"1991,27,1,1,8796"
"1991,26,1,1,7978"
"1991,25,1,1,7517"
"1991,24,1,1,7271"
"1991,23,1,1,7142"
"1991,22,1,1,7031"
"1991,21,1,1,7618"
"1991,20,1,1,8058"
"1991,19,1,1,7468"
"1991,18,1,1,8240"
"1991,17,1,1,8824"
"1991,16,1,1,8931"
"1991,15,1,1,8966"
"1991,14,1,1,9136"
"1991,13,1,1,8881"
"1991,12,1,1,8946"
"1991,11,1,1,8959"
"1991,10,1,1,9219"
"1991,9,1,1,9025"
"1991,8,1,1,9223"
"1991,7,1,1,10257"
"1991,6,1,1,9753"
"1991,5,1,1,9455"
"1991,4,1,1,10178"
"1991,3,1,1,10073"
"1991,2,1,1,9689"
"1991,1,1,1,8969"
"1991,0,1,1,8241"
"1992,0,1,1,7298"
"1992,1,1,1,8149"
"1992,2,1,1,8898"
"1992,3,1,1,9650"
"1992,4,1,1,10027"
"1992,5,1,1,10142"
"1992,6,1,1,9421"
"1992,7,1,1,9730"
"1992,8,1,1,10215"
"1992,9,1,1,9195"
"1992,10,1,1,9003"
"1992,11,1,1,9195"
"1992,12,1,1,8940"
"1992,13,1,1,8918"
"1992,14,1,1,8897"
"1992,15,1,1,9248"
"1992,16,1,1,9011"
"1992,17,1,1,9238"
"1992,18,1,1,8453"
"1992,19,1,1,7604"
"1992,20,1,1,7724"
"1992,21,1,1,8298"
"1992,22,1,1,7481"
"1992,23,1,1,6875"
"1992,24,1,1,7077"
"1992,25,1,1,7231"
"1992,26,1,1,7447"
"1992,27,1,1,7909"
"1992,28,1,1,8708"
"1992,29,1,1,9291"
"1992,30,1,1,9777"
"1992,31,1,1,10348"
"1992,32,1,1,10263"
"1992,33,1,1,10660"
"1992,34,1,1,10490"
"1992,35,1,1,10048"
"1992,36,1,1,10239"
"1992,37,1,1,10231"
"1992,38,1,1,9434"
"1992,39,1,1,9748"
"1992,40,1,1,9524"
"1992,41,1,1,9173"
"1992,42,1,1,9337"
"1992,43,1,1,7155"
"1992,44,1,1,7434"
"1992,45,1,1,6405"
"1992,46,1,1,4163"
"1992,47,1,1,3055"
"1992,48,1,1,2582"
"1992,49,1,1,3948"
"1992,50,1,1,6139"
"1992,51,1,1,6257"
"1992,52,1,1,7094"
"1992,53,1,1,6348"
"1992,54,1,1,6306"
"1992,55,1,1,5484"
"1992,56,1,1,4766"
"1992,57,1,1,4523"
"1992,58,1,1,4038"
"1992,59,1,1,4540"
"1992,60,1,1,4655"
"1992,61,1,1,4714"
"1992,62,1,1,4289"
"1992,63,1,1,4315"
"1992,64,1,1,4067"
"1992,65,1,1,3870"
"1992,66,1,1,2835"
"1992,67,1,1,2192"
"1992,68,1,1,1660"
"1992,69,1,1,1149"
"1992,70,1,1,1160"
"1992,71,1,1,966"
"1992,72,1,1,1185"
"1992,73,1,1,1083"
"1992,74,1,1,815"
"1992,75,1,1,779"
"1992,76,1,1,847"
"1992,77,1,1,931"
"1992,78,1,1,767"
"1992,79,1,1,731"
"1992,80,1,1,612"
"1992,81,1,1,500"
"1992,82,1,1,408"
"1992,83,1,1,332"
"1992,84,1,1,273"
"1992,85,1,1,215"
"1992,86,1,1,161"
"1992,87,1,1,123"
"1992,88,1,1,87"
"1992,89,1,1,55"
"1992,90,1,1,29"
"1992,91,1,1,22"
"1992,92,1,1,14"
"1992,93,1,1,4"
"1992,94,1,1,6"
"1992,95,1,1,1"
"1992,96,1,1,3"
"1992,97,1,1,3"
"1992,98,1,1,1"
"1992,99,1,1,1"
"1992,100,1,1,1"
"1992,0,1,0,3891"
"1992,1,1,0,4094"
"1992,2,1,0,4530"
"1992,3,1,0,4852"
"1992,4,1,0,5290"
"1992,5,1,0,5287"
"1992,6,1,0,4812"
"1992,7,1,0,4886"
"1992,8,1,0,5040"
"1992,9,1,0,4576"
"1992,10,1,0,4478"
"1992,11,1,0,4389"
"1992,12,1,0,4311"
"1992,13,1,0,4117"
"1992,14,1,0,4259"
"1992,15,1,0,4225"
"1992,16,1,0,3934"
"1992,17,1,0,3594"
"1992,18,1,0,2955"
"1992,19,1,0,2852"
"1992,20,1,0,2692"
"1992,21,1,0,2427"
"1992,22,1,0,2528"
"1992,23,1,0,2683"
"1992,24,1,0,3007"
"1992,25,1,0,3361"
"1992,26,1,0,3606"
"1992,27,1,0,3823"
"1992,28,1,0,4361"
"1992,29,1,0,4397"
"1992,30,1,0,4857"
"1992,31,1,0,4985"
"1992,32,1,0,5071"
"1992,33,1,0,4878"
"1992,34,1,0,4706"
"1992,35,1,0,4369"
"1992,36,1,0,4320"
"1992,37,1,0,4072"
"1992,38,1,0,3468"
"1992,39,1,0,3646"
"1992,40,1,0,3309"
"1992,41,1,0,3177"
"1992,42,1,0,2972"
"1992,43,1,0,2246"
"1992,44,1,0,2315"
"1992,45,1,0,1897"
"1992,46,1,0,1018"
"1992,47,1,0,797"
"1992,48,1,0,751"
"1992,49,1,0,1278"
"1992,50,1,0,2123"
"1992,51,1,0,2304"
"1992,52,1,0,2814"
"1992,53,1,0,2461"
"1992,54,1,0,2386"
"1992,55,1,0,2498"
"1992,56,1,0,2216"
"1992,57,1,0,2402"
"1992,58,1,0,2241"
"1992,59,1,0,2698"
"1992,60,1,0,2818"
"1992,61,1,0,2707"
"1992,62,1,0,2409"
"1992,63,1,0,2125"
"1992,64,1,0,1818"
"1992,65,1,0,1549"
"1992,66,1,0,1199"
"1992,67,1,0,1036"
"1992,68,1,0,791"
"1992,69,1,0,571"
"1992,70,1,0,603"
"1992,71,1,0,478"
"1992,72,1,0,607"
"1992,73,1,0,461"
"1992,74,1,0,333"
"1992,75,1,0,313"
"1992,76,1,0,329"
"1992,77,1,0,333"
"1992,78,1,0,350"
"1992,79,1,0,286"
"1992,80,1,0,263"
"1992,81,1,0,212"
"1992,82,1,0,173"
"1992,83,1,0,139"
"1992,84,1,0,101"
"1992,85,1,0,84"
"1992,86,1,0,59"
"1992,87,1,0,48"
"1992,88,1,0,43"
"1992,89,1,0,29"
"1992,90,1,0,12"
"1992,91,1,0,8"
"1992,92,1,0,7"
"1992,93,1,0,4"
"1992,94,1,0,1"
"1992,95,1,0,4"
"1992,96,1,0,0"
"1992,97,1,0,0"
"1992,98,1,0,0"
"1992,99,1,0,1"
"1992,100,1,0,1"
"1992,0,0,1,7044"
"1992,1,0,1,7843"
