"Year,Age,ID_sex,ID_np,Birth"
"1995,15,0,0,5"
"1995,49,0,1,0"
"1995,48,0,1,0"
"1995,47,0,1,0"
"1995,46,0,1,0"
"1995,45,0,1,0"
"1995,44,0,1,2"
"1995,43,0,1,3"
"1995,42,0,1,6"
"1995,41,0,1,14"
"1995,40,0,1,17"
"1995,39,0,1,19"
"1995,38,0,1,29"
"1995,37,0,1,42"
"1995,36,0,1,54"
"1995,35,0,1,80"
"1995,34,0,1,88"
"1995,33,0,1,105"
"1995,32,0,1,118"
"1995,31,0,1,142"
"1995,30,0,1,160"
"1995,29,0,1,163"
"1995,28,0,1,197"
"1995,27,0,1,195"
"1995,26,0,1,235"
"1995,25,0,1,270"
"1995,24,0,1,307"
"1995,23,0,1,375"
"1995,22,0,1,404"
"1995,21,0,1,479"
"1995,20,0,1,483"
"1995,19,0,1,417"
"1995,18,0,1,265"
"1995,17,0,1,124"
"1995,16,0,1,47"
"1995,15,0,1,10"
"1995,49,1,0,0"
"1995,48,1,0,0"
"1995,47,1,0,0"
"1995,46,1,0,0"
"1995,45,1,0,0"
"1995,44,1,0,1"
"1995,43,1,0,1"
"1995,42,1,0,3"
"1995,41,1,0,8"
"1995,40,1,0,10"
"1995,39,1,0,10"
"1995,38,1,0,16"
"1995,37,1,0,24"
"1995,36,1,0,31"
"1995,35,1,0,46"
"1995,34,1,0,50"
"1995,33,1,0,60"
"1995,32,1,0,67"
"1995,31,1,0,81"
"1995,30,1,0,91"
"1995,29,1,0,93"
"1995,28,1,0,112"
"1995,27,1,0,111"
"1995,26,1,0,134"
"1995,25,1,0,154"
"1995,24,1,0,175"
"1995,23,1,0,214"
"1995,22,1,0,231"
"1995,21,1,0,274"
"1995,20,1,0,276"
"1995,19,1,0,238"
"1995,18,1,0,152"
"1995,17,1,0,70"
"1995,16,1,0,26"
"1995,15,1,0,5"
"1995,49,1,1,0"
"1995,48,1,1,0"
"1995,47,1,1,0"
"1995,46,1,1,0"
"1995,45,1,1,1"
"1995,44,1,1,2"
"1995,43,1,1,3"
"1995,42,1,1,6"
"1995,41,1,1,15"
"1995,40,1,1,19"
"1995,39,1,1,20"
"1995,38,1,1,31"
"1995,37,1,1,45"
"1995,36,1,1,59"
"1995,35,1,1,87"
"1995,34,1,1,95"
"1995,33,1,1,114"
"1995,32,1,1,127"
"1995,31,1,1,153"
"1995,30,1,1,173"
"1995,29,1,1,176"
"1995,28,1,1,213"
"1995,27,1,1,210"
"1995,26,1,1,254"
"1995,25,1,1,292"
"1995,24,1,1,331"
"1995,23,1,1,405"
"1995,22,1,1,436"
"1995,21,1,1,517"
"1995,20,1,1,521"
"1995,19,1,1,451"
"1995,18,1,1,286"
"1995,17,1,1,133"
"1995,16,1,1,50"
"1995,15,1,1,10"
"1996,15,1,1,7"
"1996,16,1,1,42"
"1996,17,1,1,119"
"1996,18,1,1,247"
"1996,19,1,1,391"
"1996,20,1,1,470"
"1996,21,1,1,477"
"1996,22,1,1,421"
"1996,23,1,1,384"
"1996,24,1,1,354"
"1996,25,1,1,310"
"1996,26,1,1,259"
"1996,27,1,1,221"
"1996,28,1,1,203"
"1996,29,1,1,171"
"1996,30,1,1,154"
"1996,31,1,1,133"
"1996,32,1,1,130"
"1996,33,1,1,104"
"1996,34,1,1,93"
"1996,35,1,1,80"
"1996,36,1,1,66"
"1996,37,1,1,46"
"1996,38,1,1,37"
"1996,39,1,1,28"
"1996,40,1,1,18"
"1996,41,1,1,14"
"1996,42,1,1,10"
"1996,43,1,1,4"
"1996,44,1,1,1"
"1996,45,1,1,0"
"1996,46,1,1,0"
"1996,47,1,1,0"
"1996,48,1,1,0"
"1996,49,1,1,0"
"1996,15,1,0,4"
"1996,16,1,0,22"
"1996,17,1,0,62"
"1996,18,1,0,129"
"1996,19,1,0,203"
"1996,20,1,0,244"
"1996,21,1,0,248"
"1996,22,1,0,219"
"1996,23,1,0,200"
"1996,24,1,0,184"
"1996,25,1,0,161"
"1996,26,1,0,135"
"1996,27,1,0,115"
"1996,28,1,0,106"
"1996,29,1,0,89"
"1996,30,1,0,80"
"1996,31,1,0,69"
"1996,32,1,0,67"
"1996,33,1,0,54"
"1996,34,1,0,48"
"1996,35,1,0,42"
"1996,36,1,0,34"
"1996,37,1,0,24"
"1996,38,1,0,19"
"1996,39,1,0,14"
"1996,40,1,0,9"
"1996,41,1,0,7"
"1996,42,1,0,5"
"1996,43,1,0,2"
"1996,44,1,0,0"
"1996,45,1,0,0"
"1996,46,1,0,0"
"1996,47,1,0,0"
"1996,48,1,0,0"
"1996,49,1,0,0"
"1996,15,0,1,7"
"1996,16,0,1,40"
"1996,17,0,1,112"
"1996,18,0,1,233"
"1996,19,0,1,369"
"1996,20,0,1,443"
"1996,21,0,1,450"
"1996,22,0,1,397"
"1996,23,0,1,362"
"1996,24,0,1,333"
"1996,25,0,1,293"
"1996,26,0,1,244"
"1996,27,0,1,209"
"1996,28,0,1,192"
"1996,29,0,1,162"
"1996,30,0,1,145"
"1996,31,0,1,126"
"1996,32,0,1,122"
"1996,33,0,1,98"
"1996,34,0,1,88"
"1996,35,0,1,76"
"1996,36,0,1,62"
"1996,37,0,1,43"
"1996,38,0,1,34"
"1996,39,0,1,27"
"1996,40,0,1,17"
"1996,41,0,1,13"
"1996,42,0,1,9"
"1996,43,0,1,4"
"1996,44,0,1,0"
"1996,45,0,1,0"
"1996,46,0,1,0"
"1996,47,0,1,0"
"1996,48,0,1,0"
"1996,49,0,1,0"
"1996,15,0,0,3"
"1996,16,0,0,21"
"1996,17,0,0,60"
"1996,18,0,0,125"
"1996,19,0,0,197"
"1996,20,0,0,237"
"1996,21,0,0,240"
"1996,22,0,0,212"
"1996,23,0,0,194"
"1996,24,0,0,178"
"1996,25,0,0,156"
"1996,26,0,0,130"
"1996,27,0,0,111"
"1996,28,0,0,102"
"1996,29,0,0,86"
"1996,30,0,0,77"
"1996,31,0,0,67"
"1996,32,0,0,65"
"1996,33,0,0,52"
"1996,34,0,0,47"
"1996,35,0,0,40"
"1996,36,0,0,33"
"1996,37,0,0,23"
"1996,38,0,0,18"
"1996,39,0,0,14"
"1996,40,0,0,9"
"1996,41,0,0,7"
"1996,42,0,0,5"
"1996,43,0,0,2"
"1996,44,0,0,0"
"1996,45,0,0,0"
"1996,46,0,0,0"
"1996,47,0,0,0"
"1996,48,0,0,0"
"1996,49,0,0,0"
"1997,49,0,0,0"
"1997,48,0,0,0"
"1997,47,0,0,0"
"1997,46,0,0,0"
"1997,45,0,0,0"
"1997,44,0,0,1"
"1997,43,0,0,3"
"1997,42,0,0,4"
"1997,41,0,0,5"
"1997,40,0,0,8"
"1997,39,0,0,13"
"1997,38,0,0,20"
"1997,37,0,0,25"
"1997,36,0,0,36"
"1997,35,0,0,38"
"1997,34,0,0,49"
"1997,33,0,0,60"
"1997,32,0,0,65"
"1997,31,0,0,80"
"1997,30,0,0,93"
"1997,29,0,0,102"
"1997,28,0,0,115"
"1997,27,0,0,126"
"1997,26,0,0,137"
"1997,25,0,0,163"
"1997,24,0,0,185"
"1997,23,0,0,194"
"1997,22,0,0,224"
"1997,21,0,0,247"
"1997,20,0,0,221"
"1997,19,0,0,177"
"1997,18,0,0,120"
"1997,17,0,0,58"
"1997,16,0,0,19"
"1997,15,0,0,6"
"1997,49,0,1,0"
"1997,48,0,1,0"
"1997,47,0,1,0"
"1997,46,0,1,0"
"1997,45,0,1,1"
